"","Quantiseq_B.cells","Quantiseq_Macrophages.M1","Quantiseq_Macrophages.M2","Quantiseq_Monocytes","Quantiseq_Neutrophils","Quantiseq_NK.cells","Quantiseq_T.cells.non.regulatory","Quantiseq_CD8.cells","Quantiseq_T.cells.regulatory","Quantiseq_Dendritic.cells","Quantiseq_uncharacterized_cell"
"SAMd98bac0a070f",0.0352754695482928,0.0022989293692044,0.0386084729492984,0,0.0998765939987321,0.0197085688976446,0,0,0.0109732620079003,0,0.793258703228927
"SAM8e8ef2368dfa",0.0297978304650575,0.0119657211093182,0.0362308073503185,0,0.120049257274528,0.0233897023208201,0,0,0.00853430467231233,0,0.770032376807645
"SAMb4c7a001537d",0.0302075063639518,0,0.0339773389651894,0,0.0594894233697958,0.0102348428905638,0,0.00257891213046582,0.0117443779579313,0,0.851767598322102
"SAMfd947610629d",0.0272188632672063,0.0157429833495351,0.0442001635414578,0,0.115479070530217,0.0142666737096235,0,0,0.0154664564701805,0,0.76762578913178
"SAM943df5cf15df",0.0179877637760122,0.00664968531168987,0.0258137623226062,0,0.108670127362815,0.0064984354699327,0,0,0.00781380107904823,0,0.826566424677896
"SAM39eb94fa504d",0.0305765282266801,0.00429991917393916,0.0380405319518252,0,0.0675922367715297,0.0183830732262629,0,0.00186920253238588,0.0130129062219209,0,0.826225601895456
"SAM62fb1388c871",0.0153872313528612,0.00369174946531971,0.0259372795772691,0,0.164553327720974,0.00957588810315138,0,0,0.0110278691354298,0,0.769826654644995
"SAMc0da5d48686d",0.00582146844401797,0,0,0,0.578444803228732,0,0,0,0,0,0.41573372832725
"SAM2dc3f04e45e9",0.0317394941840696,0.0509733812543528,0.0269867946611025,0,0.0855168145623008,0.0195265180271134,0,0.0122409982257609,0.0183467100181633,0,0.754669289067137
"SAM4501e41e4751",0.0315636884551487,0.0129810568666007,0.0333189295380859,0,0.119345544810893,0.0215608554650813,0,0.00473341678151705,0.0181931930354923,0,0.758303315047181
"SAM5b57e47fdcb3",0.0214548755302876,0,0.0297502155268053,0,0.125463734688424,0.0117099875039484,0,0.00248942657168935,0.00920990311980244,0,0.799921857059043
"SAMae4da274eded",0.0394808136944273,0,0.0414580980965959,0,0.168679576355984,0.012451584882386,0,0,0.0240228116844547,0,0.713907115286152
"SAMd35318127278",0.0139508457020957,0,0.0153042171234041,0,0.385001978583892,0.00464994558142902,0.0077477943759646,0.00213969481573922,0.00238617119184394,0,0.568819352625632
"SAM75142fcab9df",0.0354108715092669,0.00888658488497402,0.0473842755609234,0,0.12734177554286,0.0177481583433689,0,0.00863170311020564,0.01884031577247,0,0.735756315275931
"SAM166a419a4e5a",0.0257213531026778,0.0118949970527079,0.0417677647682643,0,0.108122479923,0.0166532039952557,0,0.00469919432927676,0.019516267647449,0,0.771624739181368
"SAM025b45c27e05",0.0205374637315498,0.015083594811489,0.0367708462898191,0,0.121447219056069,0.0160787542578651,0,0,0.0110157713256079,0,0.7790663505276
"SAMe07c4560772d",0.0123115601942116,0,0.0152602611055769,0,0.071415065467444,0.0050787695124451,0,0,0.00471303648197669,0,0.891221307238346
"SAM560f23d6a3ad",0.0549713441274443,0.0551493203939147,0.0411140412571646,0,0.0936297490905538,0.0123038848663872,0,0.0165270984899724,0.0698900715430479,0,0.656414490231515
"SAMf3a9bce50099",0.031054225907307,0.00854547233856123,0.0311383056533969,0,0.138138527903593,0.0118779791511331,0,0.00282025586606975,0.0198956018782173,0,0.756529631301722
"SAMdab9ca8fb5de",0.0238354335721471,0.00169720108670322,0.0383397372831128,0,0.105747886569608,0.0139025849850991,0,0.00140163267645268,0.0102343694970423,0,0.804841154329835
"SAM34430ef08e5b",0.0523231313650393,0.0328606597589251,0.0459460452692037,0,0.145678578132945,0.0389066565874484,0,0.00604186708022336,0.0696848666669647,0,0.60855819513925
"SAM4b0175e8db6e",0.0384950363122157,0.00784220701119461,0.0315505175869441,0,0.15555055244243,0.0213494262650396,0,0.000900653862310882,0.0169944155808908,0,0.727317190938974
"SAM54e58f1b0230",0.0166831260528286,0,0.0141679854020712,0,0.127708362523412,0.00198091523847254,0,0.000270754544200987,0.00297076729323954,0,0.836218088945775
"SAM5e3bae090b8c",0.020997861542923,0,0.0248199858347437,0,0.243793054274216,0.00499123690969644,0,0,0.0100243080892324,0,0.695373553349189
"SAM3cb94b0d5297",0.0220112953001276,0,0.00188014206539302,0,0.61884152982761,0.00533319627149263,0.00702869420048448,0.000956746163239929,0.00127148001964884,0,0.342676916152003
"SAMcb132b0cdd2c",0.101190417597477,0.0138286624457038,0.0197654711399898,0,0.151456648343504,0.0189939507186704,0.0359361532680868,0.00315469293826522,0.0223300750923874,0,0.633343928455916
"SAMe97af0feefdf",0.0181868685367281,0.000500977249901595,0.0274942100661712,0,0.103031358600929,0.00787455728581996,0,0.000734322412303242,0.0121238666035043,0,0.830053839244642
"SAMee3844cc0b9f",0.0302068036797287,0.027775775011993,0.0580623825948105,0,0.0942334745636656,0.0133045811407003,0,0.00450801113006425,0.0212953070691646,0,0.750613664809873
"SAMdad5c29dc105",0.0185647540863983,0,0.0242856767504794,0,0.100191792442884,0.00543210013680249,0,0,0.00818549379003641,0,0.8433401827934
"SAMa424c75831b4",0.0182927539065895,0,0.0372994834877264,0,0.143383142038223,0.00759662228117263,0,0.00455468367441526,0.00727152410184025,0,0.781601790510032
"SAM45c8e6412c66",0.0158501177897429,0.0144116292246312,0.0208388688922391,0,0.0985315667393082,0.00708476301263968,0,0.0100548878884679,0.0123437888080669,0,0.820884377644904
"SAM73663ee4a96e",0.0336185677530267,0.0098925307098211,0.0419480306218477,0,0.0727964737139966,0.013529798174194,0,0.001955709069594,0.0268529363940395,0,0.79940595356348
"SAM0bdb3428bd13",0.0228960784982809,0.00875105529789159,0.0419871739143483,0,0.0794255857492392,0.00953021090671606,0.00130519686849043,0,0.00760159692190125,0,0.828503101843132
"SAM3330c03fdf00",0.212282051726916,0.0161358916579302,0.0503985639433869,0,0.0346920541331007,0.0285267926395422,0.111695482692541,0.0192551309802382,0.0308398450781709,0.0157620672168365,0.480412119931336
"SAM0a7c2091dd56",0.0150939314298655,0.0191229837104171,0.0130381585349623,0,0.0647013755732457,0.00846982119439655,0,0.00101320085312556,0.010973330752282,0,0.867587197951705
"SAM5d1dfd5207f5",0.0202016200560419,0,0.0484242252689614,0,0.0680520476547334,0.00918713351846036,0,0,0.00426276693548417,0,0.849872206566319
"SAM99a46b9eec27",0.0355474158284943,0.00933667296595864,0.0362413271101767,0,0.159768235168785,0.0176222145819974,0.00243094504728869,0.00721993644264002,0.0220036404621475,0,0.709829612392512
"SAM1ac4e3dee297",0.0199539115365376,0,0.0321258374201255,0,0.0716937527149622,0.00695544968272072,0,0,0.00306764196366055,0,0.866203406681994
"SAM553c3c35b847",0.0341850242095293,0.0602620776734619,0.0661006281571477,0,0.194758392155658,0.0114450118429024,0,0.0414142838846551,0.0599349189251856,0,0.53189966315146
"SAMc2a1820d4e6b",0.047086294670759,0.00491924598637454,0.069612545409914,0,0.0818044357473162,0.0310423792981155,0,0.0118482508181489,0.0377190885430304,0,0.715967759526342
"SAMabc151b01ea3",0.0217179283980684,0.0237351958651231,0.0215512752023465,0,0.0756434227278456,0.0246343774641322,0,0,0.00110547582694297,0,0.831612324515541
"SAMe1eb5d988760",0.0333265325891354,0.0107949725675502,0.0573215160266948,0,0.0849574894127443,0.0188393248886343,0,0.00657374842056783,0.0387692605859249,0,0.749417155508748
"SAMe3210d3632b4",0.0163112354897405,0.0291180890377241,0.0349024680636191,0,0.104561499092758,0.0123239616291437,0,0.00266759793667095,0.0181851095163329,0,0.78193003923401
"SAMb15ad09d6e24",0.0356873969978962,0.0280501085019545,0.0412452931362368,0,0.149842352485976,0.015130191529772,0,0.0304673173728991,0.0550573825438837,0,0.644519957431382
"SAM7893196e0e89",0.0191811089107058,0.00509964101330164,0.033600459038149,0,0.0454183212932104,0.0154007897574865,0,0,0.00627155121815835,0,0.875028128768988
"SAM961d04c42bd9",0.0147869232257096,0.00910624294230407,0.0454087746118911,0,0.158084274667969,0.00756845232205508,0,0.00230526053921113,0.0106798162470044,0,0.752060255443856
"SAMb0d11db9aa79",0.0257306387008046,0.0110450800741428,0.0529424287043128,0,0.0764358030900887,0.0123084562648531,0,0.0182392960408116,0.0309892754056996,0,0.772309021719287
"SAM19fec8f3b3bd",0.00844255413374239,0,0.00251195519926549,0,0.509526856826051,0.00570853114332434,0,0,0.00263631001708123,0,0.471173792680535
"SAMa90d73f8d891",0.032208787038376,0.00225812400152738,0.0131055082432342,0.0073073951209353,0.0240354647534099,0.00633241784267404,0.00875181674682313,0.00064054367200268,0.00234619682618611,0.0053939635626928,0.897619782192138
"SAM415f36ad349e",0.0322318040464578,0.0428043411429145,0.0304971134090751,0,0.127031376062503,0.0167901706987437,0,0,0.0257168706126821,0,0.724928324027624
"SAMad83c9c53537",0.0279858028139902,0.00627313203393971,0.0270398640697216,0,0.114285258522351,0.0111210587050795,0,0,0.01091116115288,0,0.802383722702038
"SAM3ee5dcd894f0",0.00849525136344543,0.00224407467453612,0.031787842009574,0,0.129185420052229,0.00552238094319873,0,0.00137025114881166,0.0246974441692204,0,0.796697335638985
"SAM8a1b0e02ee42",0.0137817054653319,0.010373774884952,0.0158980409840573,0,0.174717636555211,0.00629774357846644,0,0,0.00388908259550114,0,0.77504201593648
"SAMd7d57ee3a863",0.0232256926199355,0.0456074167863547,0.0182001562856115,0,0.120921313486606,0.0140587887471626,0,0.0269846218134917,0.0216197652746883,0,0.729382244986149
"SAMeb29625f76a5",0.0151364660162716,0.000811352377657075,0.0201350888402078,0,0.0881325122353595,0.00789667469036174,0,0,0.0101412979538553,0,0.857746607886287
"SAM563d6233dfa2",0.013082655816532,0.0122774516102661,0.00169584687991712,0,0.0819084747159623,0.00935949712719654,0.00901084620364729,0,0.00232215355938078,0,0.870343074087098
